Antti Aalto
Vincent Damphousse
Phillip Danault
Mathieu Dandenault
Ken Daneyko
Justin Danforth
Jeff Daniels
Kimbi Daniels
Scott Daniels
Yann Danis
Marko Dano
Oscar Dansk
Mike Danton
Dan Daoust
Craig Darby
Mathieu Darche
Mike Dark
Scott Darling
Harold Darragh
Jack Darragh
Cleon Daskalakis
Pavel Datsyuk
Kaspars Daugavins
Laurent Dauphin
Richard David
Bob Davidson
Brandon Davidson
Gordon Davidson
John Davidson
Matt Davidson
Johan Davidsson
Jonathan Davidsson
Bob "Pinkie" Davie
Jeremy Davies
Ken Davies
Bob Davis
Kim Davis
Lorne Davis
Mal Davis
Patrick Davis
Murray Davison
Rob Davison
Evgeny Davydov
Jeff Daw
Jason Dawe
Bob Dawes
Nigel Dawes
Nico Daws
Clarence "Happy" Day
Joe Day
Sean Day
Eric Daze
Calvin de Haan
Jacob De La Rose
Chase De Leo
Greg De Vries
Billy Dea
Jean-Sebastien Dea
Don Deacon
Adam Deadmarsh
Butch Deadmarsh
Barry Dean
Kevin Dean
Tony DeAngelo
Nelson DeBenedet
Lucien DeBlois
Dave Debol
Alex DeBrincat
Jake DeBrusk
Louie DeBrusk
Bob DeCourcy
Brad DeFauw
Brandon DeFazio
Dean DeFazio
Norm Defelice
Dale DeGray
Denis DeJordy
Mark Dekanich
Danny Dekeyser
Michael Del Zotto
Matt DelGuidice
Collin Delia
Jonathan Delisle
Xavier Delisle
Aaron Dell
Stefan Della Rovere
Ty Dellandrea
Armand "Dutch" Delmonte
Andy Delmore
Gilbert Delorme
Ron Delorme
Val Delory
Guy Delparte
Alex Delvecchio
Ab DeMarco
Ab DeMarco
Dylan DeMelo
Jason Demers
Tony Demers
Pavol Demitra
Thatcher Demko
Nathan Dempsey
Jean-Paul Denis
Louis Denis
Marc Denis
Grigori Denisenko
Corbett Denneny
Cy Denneny
Norm Dennis
Gerry Denoird
Larry DePalma
Bill Derlago
Travis Dermott
Philippe DeRouville
Gerry Desaulniers
Guillaume Desbiens
Nicolas Deschamps
Matthieu Descoteaux
David Desharnais
Joffre Desilets
Andrew Desjardins
Cedrick Desjardins
Eric Desjardins
Gerry Desjardins
Martin Desjardins
Victor Desjardins
Jacques Deslauriers
Nicolas Deslauriers
Casey DeSmith
Simon Despres
Patrick DesRochers
Jarrett Deuling
Jamie Devane
Andre Deveaux
Boyd Devereaux
Kevin Devine
Connor Dewar
Tom "Moose" Dewar
Al Dewsbury
Michel Deziel
Marcel "Ching" Dheere
Phil Di Giuseppe
Thomas Di Pauli
Ed Diachuk
Raphael Diaz
Justin DiBenedetto
Harry Dick
Ernie Dickens
Herb Dickenson
Bill Dickie
Jason Dickinson
Chris DiDomenico
Gerald Diduck
Don Dietrich
Darren Dietz
Bob Dill
Bob Dillabough
Brenden Dillon
Cecil Dillon
Gary Dillon
Wayne Dillon
Rob DiMaio
Niko Dimitrakos
Bill Dineen
Cam Dineen
Gary Dineen
Gord Dineen
Kevin Dineen
Peter Dineen
Chris Dingman
Chuck "Dinny" Dinsmore
Connie Dion
Michel Dion
Gilbert Dionne
Marcel Dionne
Joe DiPenta
Michael DiPietro
Paul DiPietro
Rick DiPietro
Robert Dirk
Jon DiSalvatore
Reinhard Divis
Tomas Divisek
Christian Djoos
Par Djoos
Gary Doak
Shane Doan
Brian Dobbin
Jim Dobson
Noah Dobson
Kevin Doell
Fred Doherty
Jason Doig
Bobby Dollas
Clarence Dolson
Robert Dome
Hnat Domenichelli
Max Domi
Tie Domi
Louis Domingue
Gary Donaldson
Clark Donatelli
Ryan Donato
Ted Donato
Dave Donnelly
Gord Donnelly
James "Babe" Donnelly
Mike Donnelly
Matt Donovan
Shean Donovan
Joonas Donskoi
Jamie Doornbosch
Jiri Dopita
Rob Dopson
John "Red" Doran
Lloyd "Red" Doran
Ken Doraty
Andre Dore
Daniel Dore
Jim Dorey
Dan Dorion
Gary Dornhoefer
Pavel Dorofeyev
Ed Dorohoy
Derek Dorsett
Lukas Dostal
Jake Dotchin
Drew Doughty
Jordy Douglas
Kent Douglas
Les Douglas
Doug Doull
Peter Douris
Jim Dowd
Nic Dowd
Jake Dowell
Bruce Dowie
Justin Dowling
Aaron Downey
Dave Downie
Steve Downie
Mario Doyon
Leon Draisaitl
Dallas Drake
Bruce Draper
Kris Draper
Tom Draper
Nick Drazenovic
Hunter Drew
Davis Drewiske
Chris Driedger
Sheldon Dries
Gordie Drillon
Peter Driscoll
Bruce Driver
Rene Drolet
Ivan Droppa
Clarence Drouillard
Jonathan Drouin
Jude Drouin
P.C. Drouin
Polly Drouin
Jeff Drouin-Deslauriers
John Druce
Harold Druken
Stan Drulia
Jim Drummond
Chris Drury
Herbert Drury
Jack Drury
Ted Drury
Dave Dryden
Ken Dryden
Jamie Drysdale
Christian Dube
Dillon Dube
Gilles Dube
Norm Dube
Justin Duberman
Wade Dubielewicz
Brandon Dubinsky
Steve Dubinsky
Devan Dubnyk
Pierre-Luc Dubois
Matt Duchene
Gaetan Duchesne
Jeremy Duchesne
Steve Duchesne
Anthony Duclair
Mike Duco
Rick Dudley
Walker Duehr
Dave Duerden
Dick Duff
Parris Duffus
Luc Dufour
Marc Dufour
Donald Dufresne
Jack Duggan
Ken Duggan
Ron Duguay
Lorne Duguid
Brandon Duhaime
Loudus "Duke" Dukowski
Woody Dumart
Michel Dumas
Matt Dumba
Gabriel Dumont
J.P. Dumont
Brian Dumoulin
Dale Dunbar
Arthur Duncan
Iain Duncan
Craig Duncanson
Rocky Dundas
Mike Dunham
Frank Dunlap
Blake Dunlop
Dave Dunn
Richie Dunn
Vince Dunn
Joshua Dunne
Denis Dupere
Andre Dupont
Brodie Dupont
Jerome Dupont
Micki DuPont
Norm Dupont
Yanick Dupre
Bob Dupuis
Pascal Dupuis
Philippe Dupuis
Steve Durbano
Vitezslav Duris
Bill Durnan
Chris Durno
Sean Durzi
Benoit Dusablon
Norm Dussault
Mervyn "Red" Dutton
Christian Dvorak
Miroslav Dvorak
Radek Dvorak
Gordie Dwyer
Mike Dwyer
Patrick Dwyer
Ed Dyck
Henry Dyck
Cecil "Babe" Dye
Karl Dykhuis
Steve Dykstra
Jack Dyte
Joe Dziedzic
Ryan Dzingel
David Dziurzynski
Robby Fabbri
Dante Fabbro
Samuel Fagemo
Brian Fahey
Jim Fahey
Trevor Fahey
Bill Fairbairn
Cade Fairchild
Kelly Fairchild
Radek Faksa
Justin Falk
Bob Falkenberg
Pat Falloon
Scott Fankhouser
Oscar Fantenberg
Joel Farabee
Jeff Farkas
Bobby Farnham
Norm "Rocky" Farr
David Farrance
Walt "Whitey" Farrant
Mike Farrell
Dave Farrish
Hudson Fasching
Gord Fashoway
Brad Fast
Jesper Fast
Viktor Fasth
Drew Fata
Rico Fata
Mario Faubert
Justin Faulk
Alex Faulkner
Ted Fauss
Andre Faust
Doug Favell
Mark Fayne
Dave Feamster
Glen Featherstone
Tony Featherstone
Bernie Federko
Fedor Fedorov
Sergei Fedorov
Todd Fedoruk
Ruslan Fedotenko
Anatoli Fedotov
Taylor Fedun
Brent Fedyk
Martin Fehervary
Eric Fehr
Chris Felix
Brian Felsner
Denny Felsner
Tony Feltrin
Paul Fenton
David Fenyves
Andrew Ference
Brad Ference
Tom Fergus
Craig Ferguson
Dylan Ferguson
George Ferguson
John Ferguson
Lorne Ferguson
Norm Ferguson
Scott Ferguson
Jonathan Ferland
Micheal Ferland
Brian Ferlin
Manny Fernandez
Mark Ferner
Chris Ferraro
Landon Ferraro
Mario Ferraro
Peter Ferraro
Ray Ferraro
Benn Ferriero
Brett Festerling
Viacheslav Fetisov
Kevin Fiala
Jesse Fibiger
Eric Fichaud
Vern Fiddler
Mike Fidler
Wilf Field
Guyle Fielder
Nikita Filatov
Jonathan Filewich
Dmitri Filimonov
Bob Fillion
Marcel Fillion
Tommy Filmore
Valtteri Filppula
Jeff Finger
Lloyd Finkbeiner
Brian Finley
Jeff Finley
Joe Finley
Steven Finn
Sid Finney
Eddie Finnigan
Frank Finnigan
Giovanni Fiore
Peter Fiorentino
Christian Fischer
Jiri Fischer
Patrick Fischer
Ron Fischer
Stephane Fiset
Alvin Fisher
Craig Fisher
Dunc Fisher
Joe Fisher
Mike Fisher
Mark Fistric
Bob Fitchner
Casey Fitzgerald
Rusty Fitzgerald
Tom Fitzgerald
Zack Fitzgerald
Alex "Sandy" Fitzpatrick
Mark Fitzpatrick
Rory Fitzpatrick
Ross Fitzpatrick
Trey Fix-Wolansky
Wade Flaherty
Fern Flaman
Patrick Flatley
Tomas Fleischmann
Gerry Fleming
Reg Fleming
John Flesch
Steven Fletcher
Bill Flett
Cale Fleury
Haydn Fleury
Marc-Andre Fleury
Theoren Fleury
Todd Flichel
Ryan Flinn
Rob Flockhart
Ron Flockhart
Mark Flood
Justin Florek
Larry Floyd
Brian Flynn
Dan Focht
Warren Foegele
Bryan Fogarty
Steven Fogarty
Lee Fogolin
Lee Fogolin
Peter Folco
Gerry Foley
Rick Foley
Marcus Foligno
Mike Foligno
Nick Foligno
Christian Folin
Bill Folk
Justin Fontaine
Len Fontaine
Jon Fontas
Val Fonteyne
Lou Fontinato
Spencer Foo
Adam Foote
Cal Foote
Nolan Foote
Colin Forbes
Dave Forbes
Mike Forbes
Vernon "Jake" Forbes
Derek Forbort
Brian Ford
Connie Forey
Alex Formenton
Jakob Forsbacka-Karlsson
Anton Forsberg
Filip Forsberg
Peter Forsberg
Jack Forsey
Gustav Forsling
Gus Forslund
Tomas Forslund
Alex Forsyth
Charles Fortier
Dave Fortier
Gabriel Fortier
Marc Fortier
Alexandre Fortin
J.F. Fortin
Ray Fortin
Maxime Fortunus
Alex Foster
Brian Foster
Corey Foster
Dwight Foster
Harry "Yip" Foster
Herb Foster
Kurtis Foster
Norm Foster
Scott Foster
Nick Fotiu
Kris Foucault
Liam Foudy
Mike Fountain
Cam Fowler
Jimmy Fowler
Norman "Heck" Fowler
Tom Fowler
Adam Fox
Greg Fox
Jim Fox
Matt Foy
Frank Foyston
Bob Frampton
Lou Franceschetti
Bob Francis
Emile Francis
Ron Francis
Pavel Francouz
Jimmy Franks
Cody Franson
Johan Franzen
Archie Fraser
Colin Fraser
Curt Fraser
Gord Fraser
Harvey Fraser
Iain Fraser
Jack Fraser
Jamie Fraser
Mark Fraser
Matt Fraser
Scott Fraser
Matt Frattin
Dan Frawley
Jeff Frazee
Kyle Freadrich
Trent Frederic
Ray Frederick
Frank Frederickson
Kris Fredheim
Mark Freer
Irv Frew
Max Friberg
Tim Friday
Dan Fridgen
Doug Friedman
Mark Friedman
Alex Friesen
Jeff Friesen
Karl Friesen
Ron Friest
Len Frig
Trevor Frischmon
Jamie Fritsch
Dan Fritsche
Mitch Fritz
Tanner Fritz
Martin Frk
Jesper Froden
Bob Froese
Byron Froese
Jonas Frogren
Michael Frolik
Alexander Frolov
Harry Frost
Morgan Frost
Miroslav Frycer
Bob Fryday
Robbie Ftorek
Zachary Fucale
Grant Fuhr
Yutaka Fukufuji
Kaden Fulcher
Larry Fullan
Mike Funk
Mark Fusco
Owen Fussey
Marian Gaborik
Kurtis Gabriel
Jonah Gadjovich
Bill Gadsby
Link Gaetz
Joaquin Gage
Jody Gage
Art Gagne
Paul Gagne
Pierre Gagne
Simon Gagne
Dave Gagner
Sam Gagner
Aaron Gagnon
Dave Gagnon
Germain Gagnon
Johnny Gagnon
Sean Gagnon
Bob Gainey
Steve Gainey
Norman "Dutch" Gainor
Maxim Galanov
Michel Galarneau
Percy "Perk" Galbraith
Alex Galchenyuk
T.J. Galiardi
Stanislav Galiev
Brendan Gallagher
John Gallagher
Brett Gallant
Gerard Gallant
Garry Galley
Jamie Gallimore
Don Gallinger
Jakub Galvas
Simon Gamache
Joseph Gambardella
Bruce Gamble
Dick Gamble
Troy Gamble
Dylan Gambrell
Gary Gambucci
Perry Ganchar
Dave Gans
Ryan Garbutt
Bert Gardiner
Bruce Gardiner
Chuck Gardiner
Herb Gardiner
Jake Gardiner
Bill Gardner
Cal Gardner
Dave Gardner
George Gardner
Paul Gardner
Rhett Gardner
Danny Gare
Ray Gariepy
Conor Garland
Scott Garland
Rob Garner
Tyrone Garner
Michael Garnett
Mathieu Garon
Johan Garpenlov
Dudley "Red" Garrett
John Garrett
Jason Garrison
Mike Gartner
Bob Gassoff
Brad Gassoff
Dave Gatherum
Steve Gatzos
Tyler Gaudet
Adam Gaudette
Frederick Gaudreau
Johnny Gaudreau
Rob Gaudreau
Armand Gaudreault
Leo Gaudreault
Michael Gaul
Jean-Marc Gaulin
Dallas Gaume
Brendan Gaunce
Cameron Gaunce
Paul Gaustad
Art "Nosey" Gauthier
Daniel Gauthier
Denis Gauthier
Fern Gauthier
Frederik Gauthier
Gabe Gauthier
Jean Gauthier
Julien Gauthier
Luc Gauthier
Paul Gauthier
Sean Gauthier
Jocelyn Gauvreau
Aaron Gavey
Stewart Gavin
Vladislav Gavrikov
Glenn Gawdin
Luke Gazdic
Rob Geale
George "Hully" Gee
Morgan Geekie
Mason Geertsen
Gary Geldart
Eric Gelinas
Martin Gelinas
Jack Gelineau
Jean-Guy Gendron
Martin Gendron
Chay Genoway
Bernie "Boom-Boom" Geoffrion
Blake Geoffrion
Dan Geoffrion
Alexandar Georgiev
George "Gerry" Geran
Eddie Gerard
Nathan Gerbe
Martin Gerber
Eric Germain
Carsen Germyn
Ken Gernander
Shane Gersich
Bruno Gervais
Ray Getliffe
Tim Gettinger
Ryan Getzlaf
Ed Giacomin
Mario Giallonardo
Brian Gibbons
Barry Gibbs
Christopher Gibson
Don Gibson
Doug Gibson
John Gibson
John Gibson
Roy "Gus" Giesebrecht
Lee Giffin
Brandon Gignac
Jean-Sebastien Giguere
Dennis Gilbert
Ed Gilbert
Gilles Gilbert
Greg Gilbert
Jeannot Gilbert
Rod Gilbert
Tom Gilbert
Stan Gilbertson
Brent Gilchrist
Curt Giles
Randy Gilhen
Andre Gill
Hal Gill
Todd Gill
Don Gillen
Clark Gillies
Colton Gillies
Jon Gillies
Trevor Gillies
Jere Gillis
Mike Gillis
Paul Gillis
Doug Gilmour
John Gilmour
Matt Gilroy
Gaston Gingras
Brian Gionta
Stephen Gionta
Mark Giordano
Bob Girard
Jonathan Girard
Ken Girard
Samuel Girard
Daniel Girardi
Zemgus Girgensons
Alexandre Giroux
Art Giroux
Claude Giroux
Larry Giroux
Pierre Giroux
Ray Giroux
Jeff Giuliano
Bob Gladney
Paul Gladu
Cody Glass
Jeff Glass
Tanner Glass
Ben Gleason
Tim Gleason
Curtis Glencross
Luke Glendening
Brian Glennie
Scott Glennie
Matt Glennon
Rob Globke
Lorry Gloeckner
Danny Gloor
Fred Glover
Howie Glover
Mike Glumac
Brian Glynn
Marcel Goc
Sascha Goc
Eric Godard
Ernie Godden
Warren Godfrey
Eddy Godin
Sammy Godin
Alexander Godynyuk
Pete Goegan
Dave Goertz
Steven Goertzen
Bob Goldham
Erich Goldmann
Nikolay Goldobin
Bill Goldsworthy
Leroy Goldsworthy
Glenn Goldup
Hank Goldup
Alex Goligoski
Cody Goloubef
Yan Golubovsky
Scott Gomez
Sergei Gonchar
Daniel Goneau
Billy Gooden
Larry Goodenough
Ebbie Goodfellow
Paul Goodman
Barclay Goodrow
Viktor Gordiouk
Andrew Gordon
Boyd Gordon
Fred Gordon
Jack Gordon
Rob Gordon
Scott Gordon
Lee Goren
Tom Gorence
Josh Gorges
Robert "Butch" Goring
Dave Gorman
Edwin Gorman
Brandon Gormley
Ben Gosselin
David Gosselin
Guy Gosselin
Mario Gosselin
Shayne Gostisbehere
Steve Gotaas
Johnny Gottselig
Tyrell Goulbourne
Bob Gould
John Gould
Larry Gould
Michel Goulet
Cliff Goupille
Yanni Gourde
David Gove
Chris Govedaris
David Goverde
Gerry Goyer
Phil Goyette
Michael Grabner
Tony Graboski
Mikhail Grabovski
Evgeny Grachev
Bob Gracie
Thomas Gradin
Marc-Andre Gragnani
Dirk Graham
Leth Graham
Pat Graham
Rod Graham
Teddy Graham
John Grahame
Ron Grahame
Tony Granato
Petter Granberg
Jean-Luc Grand-Pierre
Markus Granlund
Mikael Granlund
Alex Grant
Benny Grant
Danny Grant
Derek Grant
Doug Grant
Triston Grant
Tyler Graovac
Benoit Gratton
Chris Gratton
Dan Gratton
Gilles Gratton
Josh Gratton
Norm Gratton
Kevin Gravel
Leo Gravelle
Adam Graves
Hilliard Graves
Ryan Graves
Steve Graves
Alex Gray
Gerry Gray
Harrison Gray
Terry Gray
Denis Grebeshkov
Anthony Greco
Josh Green
Mike Green
Mike Green
Red Green
Rick Green
Ted Green
Travis Green
Wilfred "Shorty" Green
Andy Greene
Matt Greene
Colin Greening
Jeff Greenlaw
Mike Greenlay
Kyle Greentree
Jordan Greenway
A.J. Greer
Randy Gregg
Noah Gregor
Bruce Greig
Mark Greig
Thomas Greiss
Alexandre Grenier
Lucien Grenier
Martin Grenier
Richard Grenier
Ron Greschner
Brent Gretzky
Wayne Gretzky
Mike Grier
Brent Grieve
Seth Griffith
George Grigor
Mikhail Grigorenko
Rocco Grimaldi
Stu Grimson
John Grisdale
Francois Groleau
Stanislav Gron
Tuomas Gronman
Lloyd Gronsdahl
Jari Gronstrand
Michal Grosek
Troy Grosenick
Jordan Gross
Lloyd Gross
Nicklas Grossmann
Don Grosso
Leonard Grosvenor
Benoit-Olivier Groulx
Wayne Groulx
Philipp Grubauer
John Gruden
Danny Gruen
Scott Gruhl
Carl Grundstrom
Eric Gryba
Bob Gryp
Matt Grzelcyk
Francois Guay
Paul Guay
Radko Gudas
Erik Gudbranson
Kristers Gudlevskis
Steve Guenette
Nate Guenin
Jake Guentzel
Daniel Guerard
Stephane Guerard
Bill Guerin
Jocelyn Guevremont
Brendan Guhle
Aldo Guidolin
Armand "Bep" Guidolin
Bob Guindon
Ben Guite
Carl Gunnarsson
Steve Guolla
Miloslav Guren
Denis Gurianov
Alexei Gusarov
Nikita Gusev
Sergei Gusev
Ravil Gusmanov
Derek Gustafson
Bengt Gustafsson
David Gustafsson
Erik Gustafsson
Erik Gustafsson
Per Gustafsson
Filip Gustavsson
Jonas Gustavsson
Peter Gustavsson
Kevan Guy
Kari Haakana
Ari Haanpaa
Henrik Haapala
David Haas
Gaetan Haas
Marc Habscheid
Len Hachborn
Jeff Hackett
Matt Hackett
Lloyd Haddon
Vic Hadfield
Brandon Hagel
Carl Hagelin
Robert Hagg
Jim Haggerty
Sean Haggerty
Roger Hagglund
Matti Hagman
Niklas Hagman
Nicolas Hague
Riku Hahl
Gordon Haidy
Ron Hainsey
George Hainsworth
Richard Hajdu
Libor Hajek
Bill Hajt
Chris Hajt
Jani Hakanpaa
Anders Hakansson
Jaroslav Halak
Jayden Halbgewachs
Harold "Slim" Halderson
David Hale
Larry Hale
Len Haley
Micheal Haley
Matt Halischuk
Bob Halkidis
Steven Halko
Adam Hall
Bob Hall
Del Hall
Glenn Hall
Joe Hall
Murray Hall
Taylor Hall
Taylor Hall
Wayne Hall
Filip Hallander
Kevin Haller
Milt Halliday
Mats Hallin
Mike Halmo
Jeff Halpern
Brandon Halverson
Trevor Halverson
Doug Halward
Denis Hamel
Gilles Hamel
Herbert "Hap" Hamel
Jean Hamel
Pierre Hamel
Dan Hamhuis
Robert "Red" Hamill
Zach Hamill
Al Hamilton
Chuck Hamilton
Curtis Hamilton
Dougie Hamilton
Freddie Hamilton
Jackie Hamilton
Jeff Hamilton
Jim Hamilton
Reg Hamilton
Ryan Hamilton
Inge Hammarstrom
Andrew Hammond
Ken Hammond
Travis Hamonic
Gord Hampson
Ted Hampson
Rick Hampton
Radek Hamr
Roman Hamrlik
Mark Hamway
Fredrik Handemark
Ron Handy
Michal Handzus
Alan Hangsleben
Noah Hanifin
Ben Hankinson
Casey Hankinson
Joel Hanley
Glen Hanlon
John Hanna
Dave Hannan
Scott Hannan
Gord Hannigan
Pat Hannigan
Ray Hannigan
Markus Hannikainen
Ben Hanowski
Jannik Hansen
Richie Hansen
Tavis Hansen
Christian Hanson
Dave Hanson
Emil Hanson
Keith Hanson
Oscar Hanson
Martin Hanzal
Nick Harbaruk
Jeff Harding
Josh Harding
Mike Hardman
Joe Hardy
Mark Hardy
Jim Hargreaves
Johan Harju
Brett Harkins
Jansen Harkins
Todd Harkins
Thomas Harley
David Harlock
Scott Harlow
Glen Harmon
Johnny Harms
Walter "Happy" Harnott
Shane Harper
Terry Harper
Ben Harpur
Tim Harrer
Leland "Hago" Harrington
Scott Harrington
Billy Harris
Billy Harris
George "Duke" Harris
Henry "Smoky" Harris
Hugh Harris
Jordan Harris
Ron Harris
Ted Harris
Wilfred "Smokey" Harris
Ed Harrison
Jay Harrison
Jim Harrison
Paul Harrison
Peter Harrold
Carter Hart
Gerry Hart
Harold "Gizzy" Hart
Mark Hartigan
Teemu Hartikainen
Mike Hartman
Ryan Hartman
Scott Hartnell
Craig Hartsburg
Doug Harvey
Fred "Buster" Harvey
Hugh Harvey
Todd Harvey
Rafael Harvey-Pinard
Dominik Hasek
Bob Hassard
Santeri Hatakka
Derian Hatcher
Kevin Hatcher
Garnet Hathaway
Ed Hatoum
Brett Hauer
Erik Haula
Adam Hauser
Niclas Havelid
Martin Havlat
Dale Hawerchuk
Greg Hawgood
Todd Hawkins
Alan Haworth
Gordie Haworth
Neil Hawryliw
Jayce Hawryluk
Bill Hay
Dwayne Hay
George Hay
Jim Hay
Darren Haydar
John Hayden
Peter Hayek
Chris Hayes
Eriah Hayes
Jimmy Hayes
Kevin Hayes
Zack Hayes
Paul Haynes
Barrett Hayton
Brian Hayward
Rick Hayward
Steve Hazlett
Don Head
Galen Head
Fern Headley
Eric Healey
Paul Healey
Rich Healey
Glenn Healy
Shawn Heaphy
Mark Heaslip
Randy Heath
Dillon Heatherington
Dany Heatley
Andy Hebenton
Guy Hebert
Sammy Hebert
Jochen Hecht
Radoslav Hecl
Anders Hedberg
Johan Hedberg
Bret Hedican
Pierre Hedin
Victor Hedman
Jonathan Hedstrom
Tim Heed
Jeff Heerema
Cal Heeter
Frank Heffernan
Gerald Heffernan
Mike Heidt
Ilkka Heikkinen
Bill Heindl
Danton Heinen
Ville Heinola
Lionel Heinrich
Shawn Heins
Rick Heinz
Steve Heinze
Earl Heiskala
Miro Heiskanen
Barrett Heisten
Jan Hejda
Milan Hejduk
Peter Helander
Timo Helbling
Riku Helenius
Sami Helenius
Seth Helgeson
Magnus Hellberg
Connor Hellebuyck
Ehrhardt "Ott" Heller
Darren Helm
Harry Helman
Bryan Helmer
Dwight Helminen
Raimo Helminen
Colin Hemingway
Tony Hemmerling
Ales Hemsky
Archie Henderson
Jay Henderson
John Henderson
Kevin Henderson
Matt Henderson
Murray Henderson
Paul Henderson
Matt Hendricks
Darby Hendrickson
Jack Hendrickson
Jordan Hendry
Samuel Henley
Josh Hennessy
Lorne Henning
Adam Henrique
Alex Henry
Burke Henry
Camille Henry
Dale Henry
Gordie Henry
Jim Henry
T.J. Hensick
Jukka Hentunen
Aleksi Heponiemi
Alan Hepple
Ian Herbers
Jimmy Herberts
Art Herchenratter
Fred Hergerts
Phil "Nip" Hergesheimer
Wally Hergesheimer
Robert "Red" Heron
Yves Heroux
Chris Herperger
Matt Herr
Denis Herron
Jason Herter
Tomas Hertl
Matt Hervey
Shaun Heshka
Bob Hess
Jamie Heward
Orville "Obs" Heximer
Bryan Hextall
Bryan Hextall
Dennis Hextall
Ron Hextall
Vic Heyliger
Bill Hicke
Ernie Hicke
Joe Hicketts
Greg Hickey
Pat Hickey
Thomas Hickey
Alex Hicks
Doug Hicks
Glenn Hicks
Hal Hicks
Wayne Hicks
Andre Hidi
Uli Hiemer
Chris Higgins
Matt Higgins
Paul Higgins
Tim Higgins
Matthew Highmore
Hec Highton
Andy Hilbert
Ike Hildebrand
Adin Hill
Al Hill
Brian Hill
Mel Hill
Sean Hill
Jack Hillen
Jim Hiller
Jonas Hiller
Wilbert "Dutch" Hiller
Randy Hillier
Cam Hillis
Blake Hillman
Floyd "Bud" Hillman
Larry Hillman
Wayne Hillman
John Hilworth
Norman Himes
Dave Hindmarch
Vinny Hinostroza
Dan Hinote
Andre Hinse
Dan Hinton
Roope Hintz
Taro Hirose
Corey Hirsch
Tom Hirsch
Bert Hirschfeld
Nico Hischier
Joey Hishon
Jamie Hislop
Lionel Hitchman
Niklas Hjalmarsson
Jan Hlavac
Ivan Hlinka
Jaroslav Hlinka
Todd Hlushko
Shane Hnidy
Milan Hnilicka
Josh Ho-Sang
Justin Hocking
Charlie Hodge
Ken Hodge
Ken Hodge
Thomas Hodges
Justin Hodgman
Cody Hodgson
Dan Hodgson
Hayden Hodgson
Rick Hodgson
Ted Hodgson
Kevin Hodson
Cecil Hoekstra
Ed Hoekstra
Phil Hoene
Joel Hofer
Val "Vic" Hoffinger
Mike Hoffman
Mike Hoffman
Bob Hoffmeyer
Jim Hofford
Bruce Hoffort
Gregory Hofmann
Bill Hogaboam
Dale Hoganson
Paul Hoganson
Linus Hogberg
Marcus Hogberg
Jeff Hoggan
Nils Hoglander
Jonas Hoglund
Goran Hogosta
Benoit Hogue
Milos Holan
Terry Holbrook
Josh Holden
Mark Holden
Nick Holden
Bobby Holik
Justin Holl
Jason Holland
Jerry Holland
Ken Holland
Patrick Holland
Peter Holland
Robert Holland
William "Flash" Hollett
Terry Hollinger
Gordon "Bucky" Hollingworth
Bruce Holloway
George "Bud" Holloway
Ryan Hollweg
Philip Holm
Bill Holmes
Charlie Holmes
Harry "Hap" Holmes
Louis Holmes
Warren Holmes
Paul Holmgren
Johan Holmqvist
Michael Holmqvist
Ben Holmstrom
Tomas Holmstrom
Jonas Holos
Johnny Holota
Greg Holst
Chris Holt
Gary Holt
Randy Holt
Braden Holtby
Alexander Holtz
Albert "Toots" Holway
Korbinian Holzer
Brian Holzinger
Ron Homenuke
Julius Honka
Ron Hoover
Dean Hopkins
Larry Hopkins
Tony Horacek
Roman Horak
Miloslav Horava
Doug Horbul
Shawn Horcoff
Darcy Hordichuk
Mike Hordy
Pete Horeck
George "Shorty" Horne
Reginald "Red" Horner
Patric Hornqvist
Larry Hornung
Nathan Horton
Tim Horton
Bo Horvat
Bronco Horvath
Ed Hospodar
Marcel Hossa
Marian Hossa
Martin Hostak
Greg Hotham
Paul Houck
Doug Houda
Claude Houde
Eric Houde
Mike Hough
Bill Houlder
Martin Houle
Rejean Houle
Michael Houser
Phil Housley
Ken Houston
Jack Howard
Jimmy Howard
Garry Howatt
Brett Howden
Quinton Howden
Gordie Howe
Mark Howe
Marty Howe
Syd Howe
Vic Howe
Harry Howell
Ron Howell
Don Howse
Scott Howson
Dave Hoyda
Raman Hrabarenka
Jan Hrdina
Jiri Hrdina
Dave Hrechkosy
Marek Hrivik
Jim Hrivnak
Tony Hrkac
Filip Hronek
Kelly Hrudey
Jim Hrycuik
Steve Hrymnak
Tim Hrynewich
Bill Huard
Roland Huard
Petr Hubacek
Willie Huber
Jonathan Huberdeau
Greg Hubick
Fran Huck
Fred Hucul
Charlie Huddy
Jiri Hudler
Charles Hudon
Dave Hudson
Lex Hudson
Mike Hudson
Ronnie Hudson
Cristobal Huet
Kerry Huffman
Al Huggins
Albert Hughes
Brent Hughes
Brent Hughes
Cameron Hughes
Frank Hughes
Howie Hughes
Jack Hughes
Jack Hughes
James "Rusty" Hughes
John Hughes
Pat Hughes
Quinn Hughes
Ryan Hughes
Joe Hulbig
Bobby Hull
Brett Hull
Dennis Hull
Jody Hull
Cale Hulse
Ivan Huml
Brad Hunt
Dryden Hunt
Fred Hunt
Jamie Hunt
Dale Hunter
Dave Hunter
Mark Hunter
Tim Hunter
Trent Hunter
Matt Hunwick
Shawn Hunwick
Larry Huras
Bob Hurlburt
Mike Hurlbut
Paul Hurley
Jani Hurme
Ron Hurst
Jamie Huscroft
Kristian Huselius
